Device: cuda
Train rootovi: sub10k_open_images_v7, sub10k_open_images_v7_part2
Val root:      sub10k_open_images_v7  (nepromijenjen -> mAP usporediv s KD_featlogit)
Train: 14485    Val: 837
Model parameters: 2,719,132
Topli start iz: /home/tomi/code/dipl/custom_models/student_yolo26n/KD_featlogit/checkpoints/best.pt
  prethodna epoha=25  val_mAP=0.2319
  optimizer/scheduler NE nastavljaju se; LR krece od 5.00e-04
Iteracija/epoha: 905  (part1-only run je imao ~366)
  iter   4900 | epoch   6/100 | loss 0.5897 | feat 0.1249 | cls 0.1922 | box 0.2727 | lr 4.99e-04
  iter   4950 | epoch   6/100 | loss 0.5907 | feat 0.1249 | cls 0.1928 | box 0.2730 | lr 4.98e-04
  iter   5000 | epoch   6/100 | loss 0.5910 | feat 0.1248 | cls 0.1932 | box 0.2730 | lr 4.98e-04
  iter   5050 | epoch   6/100 | loss 0.5917 | feat 0.1249 | cls 0.1936 | box 0.2732 | lr 4.98e-04
  iter   5100 | epoch   6/100 | loss 0.5915 | feat 0.1247 | cls 0.1935 | box 0.2733 | lr 4.98e-04
  iter   5150 | epoch   6/100 | loss 0.5927 | feat 0.1247 | cls 0.1941 | box 0.2739 | lr 4.98e-04
  iter   5200 | epoch   6/100 | loss 0.5930 | feat 0.1248 | cls 0.1943 | box 0.2739 | lr 4.98e-04
  iter   5250 | epoch   6/100 | loss 0.5939 | feat 0.1248 | cls 0.1947 | box 0.2745 | lr 4.98e-04
  iter   5300 | epoch   6/100 | loss 0.5945 | feat 0.1247 | cls 0.1950 | box 0.2747 | lr 4.98e-04
  iter   5350 | epoch   6/100 | loss 0.5949 | feat 0.1248 | cls 0.1953 | box 0.2749 | lr 4.98e-04
  iter   5400 | epoch   6/100 | loss 0.5956 | feat 0.1248 | cls 0.1956 | box 0.2752 | lr 4.98e-04
[epoch   6] train_loss=0.5956 feat=0.1249 cls=0.1956 box=0.2752 (172.3s)
  iter   5450 | epoch   7/100 | loss 0.5832 | feat 0.1248 | cls 0.1863 | box 0.2721 | lr 4.98e-04
  iter   5500 | epoch   7/100 | loss 0.5788 | feat 0.1255 | cls 0.1848 | box 0.2685 | lr 4.98e-04
  iter   5550 | epoch   7/100 | loss 0.5778 | feat 0.1254 | cls 0.1846 | box 0.2677 | lr 4.98e-04
  iter   5600 | epoch   7/100 | loss 0.5767 | feat 0.1251 | cls 0.1844 | box 0.2672 | lr 4.98e-04
  iter   5650 | epoch   7/100 | loss 0.5776 | feat 0.1251 | cls 0.1849 | box 0.2676 | lr 4.98e-04
  iter   5700 | epoch   7/100 | loss 0.5794 | feat 0.1249 | cls 0.1859 | box 0.2685 | lr 4.98e-04
  iter   5750 | epoch   7/100 | loss 0.5803 | feat 0.1248 | cls 0.1866 | box 0.2689 | lr 4.98e-04
  iter   5800 | epoch   7/100 | loss 0.5805 | feat 0.1248 | cls 0.1869 | box 0.2689 | lr 4.98e-04
  iter   5850 | epoch   7/100 | loss 0.5811 | feat 0.1247 | cls 0.1875 | box 0.2690 | lr 4.97e-04
  iter   5900 | epoch   7/100 | loss 0.5821 | feat 0.1247 | cls 0.1880 | box 0.2695 | lr 4.97e-04
