Device: cuda
Train rootovi: sub10k_open_images_v7, sub10k_open_images_v7_part2
Val root:      sub10k_open_images_v7  (nepromijenjen -> mAP usporediv s KD_featlogit)
Train: 14485    Val: 837
Model parameters: 473,358
Topli start iz: /home/tomi/code/dipl/custom_models/student_0_5_m/KD_featlogit/checkpoints/best.pt
  prethodna epoha=25  val_mAP=0.0629
  optimizer/scheduler NE nastavljaju se; LR krece od 5.00e-04
Iteracija/epoha: 905  (part1-only run je imao ~366)
  iter   5600 | epoch   7/100 | loss 0.8462 | feat 0.1731 | cls 0.2861 | box 0.3871 | lr 4.98e-04
  iter   5650 | epoch   7/100 | loss 0.8455 | feat 0.1730 | cls 0.2852 | box 0.3874 | lr 4.98e-04
  iter   5700 | epoch   7/100 | loss 0.8467 | feat 0.1729 | cls 0.2860 | box 0.3878 | lr 4.98e-04
  iter   5750 | epoch   7/100 | loss 0.8470 | feat 0.1729 | cls 0.2861 | box 0.3880 | lr 4.98e-04
  iter   5800 | epoch   7/100 | loss 0.8467 | feat 0.1728 | cls 0.2859 | box 0.3879 | lr 4.98e-04
  iter   5850 | epoch   7/100 | loss 0.8477 | feat 0.1727 | cls 0.2866 | box 0.3883 | lr 4.97e-04
  iter   5900 | epoch   7/100 | loss 0.8484 | feat 0.1728 | cls 0.2868 | box 0.3888 | lr 4.97e-04
  iter   5950 | epoch   7/100 | loss 0.8485 | feat 0.1728 | cls 0.2870 | box 0.3887 | lr 4.97e-04
  iter   6000 | epoch   7/100 | loss 0.8489 | feat 0.1728 | cls 0.2871 | box 0.3890 | lr 4.97e-04
  iter   6050 | epoch   7/100 | loss 0.8490 | feat 0.1729 | cls 0.2871 | box 0.3890 | lr 4.97e-04
  iter   6100 | epoch   7/100 | loss 0.8491 | feat 0.1728 | cls 0.2873 | box 0.3889 | lr 4.97e-04
  iter   6150 | epoch   7/100 | loss 0.8492 | feat 0.1728 | cls 0.2873 | box 0.3891 | lr 4.97e-04
  iter   6200 | epoch   7/100 | loss 0.8494 | feat 0.1728 | cls 0.2873 | box 0.3893 | lr 4.97e-04
  iter   6250 | epoch   7/100 | loss 0.8497 | feat 0.1728 | cls 0.2875 | box 0.3895 | lr 4.97e-04
  iter   6300 | epoch   7/100 | loss 0.8498 | feat 0.1727 | cls 0.2875 | box 0.3895 | lr 4.97e-04
[epoch   7] train_loss=0.8499 feat=0.1728 cls=0.2875 box=0.3896 (175.9s)
[epoch   7] validating...
[epoch   7] val_resp=0.7188 (cls=0.3081 box=0.4107) | val_mAP@50:95=0.0925 mAP@50=0.2541 (52.7s)
[epoch   7] new best (val_mAP@50:95 = 0.0925)
  iter   6350 | epoch   8/100 | loss 0.8457 | feat 0.1724 | cls 0.2886 | box 0.3847 | lr 4.97e-04
  iter   6400 | epoch   8/100 | loss 0.8360 | feat 0.1729 | cls 0.2809 | box 0.3822 | lr 4.97e-04
  iter   6450 | epoch   8/100 | loss 0.8377 | feat 0.1729 | cls 0.2812 | box 0.3835 | lr 4.97e-04
  iter   6500 | epoch   8/100 | loss 0.8398 | feat 0.1730 | cls 0.2826 | box 0.3842 | lr 4.97e-04
  iter   6550 | epoch   8/100 | loss 0.8396 | feat 0.1729 | cls 0.2829 | box 0.3838 | lr 4.96e-04
  iter   6600 | epoch   8/100 | loss 0.8385 | feat 0.1731 | cls 0.2823 | box 0.3831 | lr 4.96e-04
  iter   6650 | epoch   8/100 | loss 0.8390 | feat 0.1730 | cls 0.2826 | box 0.3834 | lr 4.96e-04
  iter   6700 | epoch   8/100 | loss 0.8403 | feat 0.1729 | cls 0.2831 | box 0.3843 | lr 4.96e-04
  iter   6750 | epoch   8/100 | loss 0.8403 | feat 0.1729 | cls 0.2830 | box 0.3844 | lr 4.96e-04
  iter   6800 | epoch   8/100 | loss 0.8414 | feat 0.1728 | cls 0.2838 | box 0.3848 | lr 4.96e-04
  iter   6850 | epoch   8/100 | loss 0.8419 | feat 0.1728 | cls 0.2839 | box 0.3853 | lr 4.96e-04
  iter   6900 | epoch   8/100 | loss 0.8415 | feat 0.1727 | cls 0.2836 | box 0.3853 | lr 4.96e-04
