Device: cuda
Train rootovi: sub10k_open_images_v7, sub10k_open_images_v7_part2
Val root:      sub10k_open_images_v7  (nepromijenjen -> mAP usporediv s KD_featlogit)
Train: 14485    Val: 837
Model parameters: 1,060,310
Topli start iz: /home/tomi/code/dipl/custom_models/student_1_m/KD_featlogit/checkpoints/best.pt
  prethodna epoha=22  val_mAP=0.1191
  optimizer/scheduler NE nastavljaju se; LR krece od 5.00e-04
Iteracija/epoha: 905  (part1-only run je imao ~366)
  iter   8450 | epoch  10/100 | loss 0.6751 | feat 0.1625 | cls 0.2033 | box 0.3093 | lr 4.93e-04
  iter   8500 | epoch  10/100 | loss 0.6752 | feat 0.1625 | cls 0.2032 | box 0.3095 | lr 4.93e-04
  iter   8550 | epoch  10/100 | loss 0.6766 | feat 0.1625 | cls 0.2040 | box 0.3101 | lr 4.93e-04
  iter   8600 | epoch  10/100 | loss 0.6779 | feat 0.1625 | cls 0.2048 | box 0.3106 | lr 4.93e-04
  iter   8650 | epoch  10/100 | loss 0.6784 | feat 0.1626 | cls 0.2048 | box 0.3110 | lr 4.93e-04
  iter   8700 | epoch  10/100 | loss 0.6792 | feat 0.1625 | cls 0.2053 | box 0.3114 | lr 4.93e-04
  iter   8750 | epoch  10/100 | loss 0.6802 | feat 0.1625 | cls 0.2058 | box 0.3118 | lr 4.92e-04
  iter   8800 | epoch  10/100 | loss 0.6812 | feat 0.1625 | cls 0.2063 | box 0.3124 | lr 4.92e-04
  iter   8850 | epoch  10/100 | loss 0.6809 | feat 0.1625 | cls 0.2062 | box 0.3122 | lr 4.92e-04
  iter   8900 | epoch  10/100 | loss 0.6809 | feat 0.1625 | cls 0.2063 | box 0.3121 | lr 4.92e-04
  iter   8950 | epoch  10/100 | loss 0.6809 | feat 0.1625 | cls 0.2063 | box 0.3122 | lr 4.92e-04
  iter   9000 | epoch  10/100 | loss 0.6819 | feat 0.1624 | cls 0.2068 | box 0.3127 | lr 4.92e-04
  iter   9050 | epoch  10/100 | loss 0.6825 | feat 0.1624 | cls 0.2073 | box 0.3129 | lr 4.92e-04
[epoch  10] train_loss=0.6825 feat=0.1624 cls=0.2073 box=0.3129 (167.4s)
[epoch  10] validating...
[epoch  10] val_resp=0.6763 (cls=0.2999 box=0.3764) | val_mAP@50:95=0.1564 mAP@50=0.3554 (46.4s)
[epoch  10] no improvement (3/9 patience)
  iter   9100 | epoch  11/100 | loss 0.6626 | feat 0.1611 | cls 0.1969 | box 0.3046 | lr 4.92e-04
  iter   9150 | epoch  11/100 | loss 0.6628 | feat 0.1612 | cls 0.1961 | box 0.3055 | lr 4.92e-04
  iter   9200 | epoch  11/100 | loss 0.6605 | feat 0.1614 | cls 0.1946 | box 0.3045 | lr 4.91e-04
  iter   9250 | epoch  11/100 | loss 0.6644 | feat 0.1619 | cls 0.1967 | box 0.3058 | lr 4.91e-04
  iter   9300 | epoch  11/100 | loss 0.6645 | feat 0.1618 | cls 0.1968 | box 0.3059 | lr 4.91e-04
  iter   9350 | epoch  11/100 | loss 0.6652 | feat 0.1618 | cls 0.1971 | box 0.3063 | lr 4.91e-04
  iter   9400 | epoch  11/100 | loss 0.6708 | feat 0.1625 | cls 0.2000 | box 0.3084 | lr 4.91e-04
  iter   9450 | epoch  11/100 | loss 0.6743 | feat 0.1628 | cls 0.2019 | box 0.3097 | lr 4.91e-04
  iter   9500 | epoch  11/100 | loss 0.6763 | feat 0.1630 | cls 0.2029 | box 0.3104 | lr 4.91e-04
  iter   9550 | epoch  11/100 | loss 0.6762 | feat 0.1631 | cls 0.2029 | box 0.3102 | lr 4.91e-04
  iter   9600 | epoch  11/100 | loss 0.6758 | feat 0.1631 | cls 0.2028 | box 0.3099 | lr 4.91e-04
  iter   9650 | epoch  11/100 | loss 0.6755 | feat 0.1631 | cls 0.2029 | box 0.3095 | lr 4.90e-04
  iter   9700 | epoch  11/100 | loss 0.6755 | feat 0.1630 | cls 0.2029 | box 0.3096 | lr 4.90e-04
  iter   9750 | epoch  11/100 | loss 0.6755 | feat 0.1630 | cls 0.2030 | box 0.3095 | lr 4.90e-04
  iter   9800 | epoch  11/100 | loss 0.6754 | feat 0.1630 | cls 0.2029 | box 0.3095 | lr 4.90e-04
